purchase_id,customer_id,product_category,product_name,quantity,price_per_item,purchase_date,customer_state,shipping_method,total_price
P00837,C0434,Clothing,Monitor,5,490.78,2024-06-24,NY,Express,2453.8999999999996
P00846,C0230,Books,Rug,2,471.28,2024-12-15,NY,Express,942.56
P00848,C0166,Home & Garden,Dumbbells,5,176.49,2024-11-27,CA,Overnight,882.45
P00850,C0073,Books,Dumbbells,4,284.06,2024-11-12,NY,Express,1136.24
P00852,C0006,Electronics,Jacket,2,490.83,2024-04-04,CA,Standard,981.66
P00854,C0011,Books,Rug,3,328.23,2024-02-05,CA,Overnight,984.69
P00855,C0488,Electronics,Basketball,3,80.09,2024-04-01,CA,Express,240.27
P00856,C0295,Sports,Yoga Mat,4,423.97,2024-09-08,NY,Overnight,1695.88
P00862,C0224,Clothing,Tablet,5,291.26,2024-11-25,NY,Express,1456.3
P00865,C0472,Clothing,T-Shirt,4,12.24,2024-03-03,CA,Standard,48.96
P00867,C0031,Sports,Headphones,3,451.17,2024-01-23,CA,Standard,1353.51
P00878,C0231,Electronics,Novel,3,221.99,2024-08-30,NY,Express,665.97
P00879,C0225,Books,Yoga Mat,5,481.35,2024-07-03,NY,Express,2406.75
P00887,C0131,Clothing,Plant Pot,2,192.37,2024-11-13,NY,Express,384.74
P00890,C0233,Electronics,Headphones,2,343.82,2024-01-15,CA,Express,687.64
P00891,C0403,Home & Garden,Garden Tools,2,165.5,2024-11-26,CA,Overnight,331.0
P00896,C0303,Home & Garden,Cookbook,5,215.07,2024-02-13,CA,Overnight,1075.35
P00897,C0442,Clothing,Monitor,4,271.22,2024-10-22,NY,Overnight,1084.88
P00898,C0356,Electronics,Magazine,4,116.55,2024-01-27,NY,Express,466.2
P00901,C0289,Electronics,Cookbook,5,272.83,2024-03-15,NY,Overnight,1364.1499999999999
P00904,C0444,Books,Rug,3,296.12,2024-04-06,NY,Overnight,888.36
P00908,C0064,Home & Garden,Hat,4,289.08,2024-07-25,NY,Overnight,1156.32
P00912,C0403,Books,Basketball,2,225.8,2024-10-01,CA,Express,451.6
P00913,C0295,Electronics,Tablet,4,19.71,2024-12-14,CA,Overnight,78.84
P00920,C0053,Books,Jeans,4,417.31,2024-02-28,NY,Express,1669.24
P00925,C0096,Electronics,Smartphone,3,367.42,2024-12-23,CA,Overnight,1102.26
P00931,C0452,Books,Tablet,5,351.61,2024-07-30,CA,Overnight,1758.0500000000002
P00936,C0398,Books,Yoga Mat,3,352.73,2024-03-03,CA,Overnight,1058.19
P00941,C0402,Books,Jeans,4,17.77,2024-05-24,CA,Standard,71.08
P00946,C0139,Home & Garden,Lamp,3,219.84,2024-06-30,NY,Express,659.52
P00949,C0103,Sports,Hat,4,462.18,2024-07-25,NY,Express,1848.72
P00952,C0212,Sports,Basketball,4,176.16,2024-08-27,CA,Overnight,704.64
P00958,C0406,Sports,Shoes,2,174.04,2024-09-19,CA,Overnight,348.08
P00960,C0485,Home & Garden,Running Shoes,2,52.96,2024-11-10,NY,Overnight,105.92
P00965,C0115,Sports,Yoga Mat,5,13.37,2024-01-20,NY,Overnight,66.85
P00979,C0160,Clothing,Lamp,5,28.56,2024-02-14,CA,Express,142.79999999999998
P00982,C0457,Sports,Jeans,2,409.19,2024-09-29,NY,Overnight,818.38
P00989,C0421,Sports,Rug,2,357.07,2024-10-05,CA,Overnight,714.14
P00990,C0046,Sports,Rug,5,497.78,2024-11-23,NY,Overnight,2488.8999999999996
P00993,C0401,Sports,Basketball,5,49.93,2024-01-18,CA,Overnight,249.65
P00994,C0329,Home & Garden,Dumbbells,3,151.97,2024-05-10,NY,Express,455.90999999999997
P00995,C0022,Electronics,Novel,3,458.21,2024-05-16,CA,Standard,1374.6299999999999
P00998,C0376,Clothing,Cookbook,5,472.51,2024-04-18,NY,Overnight,2362.55
P01008,C0215,Clothing,Laptop,4,275.66,2024-07-19,NY,Standard,1102.64
P01011,C0099,Sports,Novel,5,126.62,2024-04-02,NY,Express,633.1
P01012,C0457,Home & Garden,Tablet,2,209.61,2024-12-29,NY,Express,419.22
P01017,C0331,Electronics,Magazine,2,322.59,2024-03-17,CA,Standard,645.18
P01018,C0228,Books,Jacket,3,99.99,2024-09-15,CA,Standard,299.96999999999997
P01023,C0173,Home & Garden,Rug,5,418.29,2024-12-10,NY,Overnight,2091.4500000000003
P01024,C0490,Sports,Cushion,3,72.79,2024-12-28,CA,Express,218.37
P01029,C0070,Electronics,Shoes,5,111.66,2024-12-26,NY,Standard,558.3
P01034,C0375,Electronics,Headphones,4,445.97,2024-08-30,NY,Express,1783.88
P01035,C0042,Home & Garden,Basketball,5,280.68,2024-08-03,NY,Overnight,1403.4
P01039,C0122,Clothing,T-Shirt,4,63.27,2024-08-14,CA,Overnight,253.08
P01040,C0350,Electronics,Running Shoes,4,255.96,2024-06-07,NY,Standard,1023.84
P01048,C0018,Clothing,Jeans,2,229.19,2024-10-10,CA,Overnight,458.38
P01050,C0340,Home & Garden,Plant Pot,5,218.68,2024-10-18,CA,Overnight,1093.4
P01052,C0059,Electronics,Running Shoes,2,479.15,2024-07-02,NY,Standard,958.3
P01062,C0468,Books,Tennis Racket,4,386.22,2024-10-07,CA,Overnight,1544.88
P01067,C0487,Books,Tennis Racket,3,57.7,2024-04-06,CA,Overnight,173.10000000000002
P01071,C0098,Sports,Dumbbells,2,432.64,2024-11-23,NY,Standard,865.28
P01077,C0192,Books,Laptop,2,205.35,2024-05-13,CA,Standard,410.7
P01078,C0033,Clothing,Monitor,4,491.78,2024-10-05,CA,Overnight,1967.12
P01082,C0090,Clothing,Rug,4,494.93,2024-04-02,CA,Standard,1979.72
P01088,C0047,Electronics,T-Shirt,3,457.6,2024-04-06,CA,Standard,1372.8000000000002
P01092,C0123,Clothing,Garden Tools,5,145.09,2024-10-04,CA,Standard,725.45
P01096,C0247,Home & Garden,Jeans,5,380.48,2024-03-26,CA,Overnight,1902.4
P01097,C0103,Sports,Basketball,2,440.98,2024-01-26,CA,Overnight,881.96
P01100,C0325,Home & Garden,Monitor,4,425.36,2024-06-17,NY,Express,1701.44
P01103,C0310,Clothing,Garden Tools,2,243.35,2024-03-20,NY,Overnight,486.7
P01105,C0227,Sports,Tennis Racket,3,301.78,2024-03-10,CA,Express,905.3399999999999
P01106,C0055,Sports,Laptop,3,146.39,2024-01-13,NY,Overnight,439.16999999999996
P01120,C0339,Home & Garden,Shoes,3,224.63,2024-04-27,CA,Express,673.89
P01121,C0446,Clothing,Textbook,3,351.92,2024-09-17,NY,Overnight,1055.76
P01129,C0059,Clothing,Monitor,3,169.32,2024-09-06,NY,Standard,507.96
P01131,C0029,Electronics,Garden Tools,4,335.35,2024-04-09,NY,Express,1341.4
P01139,C0461,Home & Garden,Basketball,4,119.62,2024-02-18,CA,Standard,478.48
P01141,C0264,Clothing,Garden Tools,3,318.76,2024-12-06,CA,Overnight,956.28
P01149,C0308,Sports,Cushion,5,190.6,2024-04-13,NY,Express,953.0
P01152,C0407,Books,Basketball,3,65.17,2024-10-07,CA,Express,195.51
P01158,C0258,Sports,Jacket,4,57.02,2024-10-11,CA,Express,228.08
P01165,C0233,Books,Plant Pot,4,228.86,2024-07-07,NY,Express,915.44
P01175,C0315,Sports,Basketball,5,439.27,2024-08-08,NY,Express,2196.35
P01185,C0079,Sports,Shoes,3,382.47,2024-07-11,CA,Express,1147.41
P01186,C0462,Books,Monitor,3,83.05,2024-05-17,CA,Overnight,249.14999999999998
P01188,C0387,Books,Garden Tools,5,223.7,2024-01-11,NY,Standard,1118.5
P01190,C0425,Sports,Laptop,5,38.7,2024-07-14,CA,Overnight,193.5
P01195,C0205,Clothing,T-Shirt,4,30.96,2024-03-19,CA,Overnight,123.84
P01199,C0319,Sports,Tennis Racket,2,392.1,2024-03-06,NY,Express,784.2
P01201,C0386,Home & Garden,Jeans,4,282.1,2024-01-30,NY,Express,1128.4
P01203,C0066,Sports,Basketball,2,313.81,2024-04-12,CA,Express,627.62
P01204,C0173,Books,Plant Pot,4,388.83,2024-12-04,CA,Express,1555.32
P01212,C0397,Home & Garden,Cushion,4,140.97,2024-11-01,CA,Overnight,563.88
P01216,C0335,Books,Jacket,2,334.93,2024-09-13,NY,Overnight,669.86
P01217,C0284,Clothing,Cookbook,3,207.5,2024-11-22,CA,Overnight,622.5
P01220,C0466,Electronics,Headphones,4,176.36,2024-12-14,CA,Overnight,705.44
P01240,C0383,Clothing,Garden Tools,5,126.62,2024-09-07,CA,Express,633.1
P01242,C0200,Home & Garden,T-Shirt,5,475.79,2024-06-06,CA,Overnight,2378.9500000000003
P01250,C0431,Home & Garden,T-Shirt,5,320.14,2024-03-03,CA,Standard,1600.6999999999998
P01258,C0002,Sports,Plant Pot,4,247.0,2024-09-30,NY,Standard,988.0
P01263,C0400,Sports,Garden Tools,4,144.59,2024-06-10,CA,Standard,578.36
P01266,C0010,Sports,Cookbook,5,357.34,2024-09-16,CA,Overnight,1786.6999999999998
P01270,C0083,Clothing,Jacket,4,348.25,2024-07-29,NY,Standard,1393.0
P01277,C0181,Sports,Yoga Mat,4,294.09,2024-05-17,NY,Express,1176.36
P01279,C0226,Electronics,Cookbook,5,337.49,2024-01-06,NY,Express,1687.45
P01284,C0400,Books,Yoga Mat,2,244.58,2024-01-14,NY,Overnight,489.16
P01285,C0351,Books,Jacket,2,55.65,2024-11-17,NY,Overnight,111.3
P01303,C0271,Books,Tennis Racket,2,289.86,2024-12-07,NY,Overnight,579.72
P01307,C0199,Electronics,Lamp,5,64.07,2024-01-29,CA,Standard,320.34999999999997
P01312,C0368,Sports,Lamp,4,142.71,2024-06-04,NY,Express,570.84
